                           stepid  dayscons_ade dayscons_weeks_ade
anbingep                0.0260920918  0.0718102390     0.0718181100
anrestrc                0.0215884489  0.0768810335     0.0768814755
anrestrp                0.0270248387  0.0718337485     0.0718255140
genanxc                 0.0394699921  0.0473223838     0.0473805209
genanxp                 0.0479822095  0.0521265975     0.0521645263
ganxgenc                0.0222864341  0.0845336565     0.0845152923
ganxgenp                0.0219867270  0.0832955672     0.0832746239
gadsubc                 0.0226881479  0.0855413228     0.0855232665
gadsubp                 0.0223864214  0.0842971446     0.0842765038
addkidc                 0.0168459511  0.1113488866     0.1110832538
addkidp                 0.0184618110  0.1070242518     0.1067738526
addadltc               -0.0106312082  0.0302793505     0.0302995832
addadltp               -0.0186222388  0.0416152473     0.0416413415
                     certcode_ade certcode_mini      certcode        deprmd
stepid              -0.0044001096   0.001019149 -0.0030604450 -1.973016e-02
dayscons_ade        -0.0069720480   0.013906845 -0.0329593249 -9.953134e-02
dayscons_weeks_ade  -0.0024561867   0.017023242 -0.0281890791 -8.875911e-02
dayscons_mini        0.0947214234   0.208326507  0.1466452912  3.609703e-03
dayscons_weeks_mini  0.0640279999   0.264019950  0.1349268867 -1.079665e-02
dayscons_x           0.1169875267   0.109713552  0.0734377961  4.544189e-03
dayscons_weeks_x     0.1063884506   0.112372703  0.0678825615 -1.161876e-03
dayscons_y          -0.0898324125  -0.038842494  0.5272961083 -1.313497e-01
dayscons_weeks_y    -0.0897620439  -0.038780573  0.5290765926 -1.299077e-01
certcode_ade         1.0000000000   0.806508694  0.3507844486  8.374283e-02
certcode_mini        0.8065086943   1.000000000  0.3133869684  2.938618e-02
certcode             0.3507844486   0.313386968  1.0000000000  2.113929e-01
deprmd               0.0837428266   0.029386178  0.2113929497  1.000000e+00
depsleep            -0.0342414205  -0.020483847 -0.0107490374 -4.056603e-02
depsleepcat         -0.0251999332  -0.008189179 -0.0261589485 -3.916620e-02
depinter             0.0094218976   0.037902012  0.0052950965 -1.097240e-01
depguilt            -0.0602191490  -0.065527106 -0.0275694513  1.064299e-01
depenerg             0.0006151095   0.011907100 -0.0309583766 -7.725443e-02
depconcn             0.0195438571   0.025074998 -0.0190757186 -9.529305e-02
depappet            -0.0107278004   0.001150563  0.0118438919 -4.609778e-02
deppmr              -0.0088628101  -0.024558005 -0.0242851746  7.146462e-02
dage1st              0.1021338759   0.109022855  0.0664640399 -5.023939e-02
dage1stcat           0.0135714761   0.026439255  0.0083129879 -1.592774e-02
mage1st              0.0793882416   0.101955238  0.0653239318 -5.982449e-02
mage1stcat           0.0384144535   0.062262576  0.0232643676 -6.205711e-02
depsi               -0.0037735173  -0.009651100  0.0068515603  6.041608e-02
depsicat             0.0926453179   0.060746696  0.1709369030  6.866508e-01
depsev              -0.0310874837  -0.041715584 -0.0436802229  2.267775e-02
depse                0.0506867949   0.060199620 -0.0148967665 -1.172753e-01
depdist             -0.0574796645  -0.074649612 -0.0117571631  9.076065e-02
deppma              -0.0299451477  -0.062523173 -0.0259463761  7.473352e-02
elvselfe             0.1021890238   0.062644218 -0.0009652873 -6.971999e-02
elvsleep            -0.0248481743  -0.016807803  0.0053788810  3.763820e-03
elvtalk              0.0593149649   0.035495649  0.0002003495  2.466039e-02
elvfoi               0.0365670149   0.003249483 -0.0158299648  7.314410e-02
elvdistr            -0.0495255606  -0.069450500 -0.0235717244  8.419038e-02
elvgdact             0.0588947471   0.037541280 -0.0313665323 -6.209154e-02
elvhrb               0.0419732521   0.016069618 -0.0456294245  5.520038e-03
elvpma              -0.0366376773  -0.057499417 -0.0388431820  5.607304e-02
majdepc             -0.0504071478   0.308232225  0.0019467036  2.760560e-02
majdepp             -0.1151325362   0.397806451  0.0048957234 -7.974691e-02
moodgenc            -0.1083979303   0.422924608  0.0076425663 -7.336684e-02
moodgenp            -0.1086172065   0.416310079  0.0089611308 -6.989028e-02
moodsubc            -0.0984236102   0.435935950  0.0130397542 -7.725731e-02
moodsubp            -0.0949744422   0.418813002  0.0079326145 -7.082150e-02
manicc              -0.0793646240   0.368924023  0.0073940164 -8.243925e-02
hmanicc             -0.0806981444   0.355671725 -0.0059783489 -7.624371e-02
manicp              -0.0841801959   0.323238844 -0.0237813430 -1.093451e-01
hmanicp             -0.0157940328   0.342842611  0.0466312264 -1.273197e-02
typeiic             -0.0445035137   0.337744750  0.0503457947 -9.823703e-05
typeiip             -0.0851259187   0.282735921  0.0335665928 -1.565193e-02
clinstat            -0.0481248550  -0.022429818 -0.0436184098 -1.572410e-01
manlast              0.0330281680   0.020107419 -0.0212229150  1.018033e-01
deppast              0.0462386021   0.068179638 -0.0026906572  9.783930e-02
mangenc             -0.1030349171   0.435493554  0.0147525383 -7.723779e-02
mangenp             -0.1048768748   0.430667767  0.0161115369 -7.647338e-02
hypogenc            -0.1023129360   0.435405823  0.0142107868 -7.802471e-02
hypogenp            -0.0986917135   0.434910367  0.0217979004 -7.862139e-02
mansubc             -0.1029954547   0.430877155  0.0117095103 -8.036909e-02
mansubp             -0.0882174001   0.394099267  0.0087354961 -6.969015e-02
hyposubc            -0.1031025735   0.432297817  0.0143956416 -7.666824e-02
hyposubp            -0.0770595467   0.409783665  0.0169510061 -6.378255e-02
anxdisc             -0.1076948530   0.425890987  0.0078768207 -7.713370e-02
anxdisp             -0.0968825831   0.424548754  0.0159838344 -7.011900e-02
anxsubc             -0.1081443770   0.435575569  0.0121776563 -8.478195e-02
anxsubp             -0.1081065221   0.429297222  0.0080771611 -8.490076e-02
pdnoagc             -0.0899105149   0.380555475 -0.0004299792 -6.151918e-02
