              depresd       lessint     moodelev      curdepr     curenjoy
abnirrit  0.0623562467  0.0620519761  0.0407602471  0.044777570  0.0377053953
curirrit -0.0230486330 -0.0232442031  0.0191312590  0.035129116  0.0519984264
abnanx    0.0687875620  0.0684925882  0.0395730419  0.044361124  0.0438255538
deprmd   -0.4173041352 -0.4171669364  0.0573817223  0.099738013 -0.0027348504
depsleep  0.0054750512  0.0055580760  0.0564308573  0.054763486  0.0167375557
depinter -0.0336571183 -0.0336046209  0.0116595992  0.012093693  0.0781715234
depguilt -0.0009358476 -0.0004237543  0.0531701188  0.051613640  0.0723054081
depse    -0.0229612882 -0.0237176573  0.0607370517  0.059892762  0.0593000312
depenerg -0.0266812818 -0.0265589998  0.0007970973  0.002457918  0.0538401389
depconcn -0.0229021011 -0.0228307707  0.0240302475  0.027575143  0.0631995858
depdist  -0.0060636984 -0.0054643578  0.0661576348  0.073610892  0.0683283009
depappet -0.0136306208 -0.0135980022  0.0213465042  0.022891033  0.0341351617
deppmr   -0.0048075394 -0.0049507056  0.0317528227  0.037474103  0.0434009533
deppma   -0.0153591371 -0.0147125643  0.0795014703  0.076803927  0.0683295154
elvselfe -0.0498980738 -0.0497490496  0.0017063546  0.005485050  0.0611918138
elvsleep  0.0053660328  0.0039068503  0.0287678800  0.032509599  0.0680992668
elvtalk  -0.0106902959 -0.0107717088  0.0146112600  0.013092809  0.0122729580
elvfoi    0.0042359238  0.0041764652  0.0152200949  0.014262705  0.0208426310
elvdistr  0.0072776362  0.0072625692  0.0240044515  0.027919925  0.0336102604
elvgdact -0.0230936103 -0.0232266790  0.0138453106  0.011248662  0.0391317756
elvpma   -0.0054488016 -0.0055474463  0.0573556075  0.060026056  0.0607531131
elvhrb   -0.0061607640 -0.0062592791  0.0116636442  0.013502565  0.0211007626
depsi     0.0591233494  0.0588059432  0.0142817483  0.016282432  0.0371565834
silnwl    0.9971071325  0.9976544836 -0.0127616373 -0.039102969  0.0010256267
sipassiv  1.0000000000  0.9979519308 -0.0126286428 -0.039773302  0.0008734904
siactive  0.9979519308  1.0000000000 -0.0124064239 -0.039237803  0.0007738710
depslmin -0.0126286428 -0.0124064239  1.0000000000  0.814058824  0.0449493978
depslmax -0.0397733017 -0.0392378031  0.8140588240  1.000000000  0.0444689180
smspi     0.0008734904  0.0007738710  0.0449493978  0.044468918  1.0000000000
smshallu  0.0042565100  0.0041414519  0.0483881114  0.047858693  0.8307141711
smsior    0.0040294822  0.0039097103  0.0461887670  0.044362521  0.9143435096
smsdelus  0.0026847881  0.0025572757  0.0493729863  0.045639331  0.8262411052
