                  tryhsui       deprmd     depsleep  depsleepcat      depinter
genanxc      0.025823518 -0.01267991 -0.011234339 -0.0186412098  0.086035079
genanxp      0.025721875 -0.01220694 -0.010609484 -0.0183612058  0.085705589
ganxgenc     0.026211290 -0.01251024 -0.010873318 -0.0185412163  0.083662820
ganxgenp     0.026211933 -0.01250732 -0.010872275 -0.0185407247  0.083668750
gadsubc      0.026207905 -0.01251169 -0.010878432 -0.0185406441  0.083664214
gadsubp      0.026208548 -0.01250878 -0.010877389 -0.0185401526  0.083670144
addkidc      0.019279934 -0.01766809 -0.019015659 -0.0024272739  0.041307627
addkidp      0.014373764 -0.01578092 -0.017591594 -0.0009808012  0.055558515
addadltc     0.025092501 -0.01296609 -0.010154971 -0.0185942534  0.085979958
addadltp     0.025167936 -0.01293742 -0.010108434 -0.0185265678  0.085991220
              dage1stcat     mage1st   mage1stcat         depsi      depsicat
tryhsui      0.012502484  0.01834484  0.004129868 -0.0035809595  0.2196664777
deprmd      -0.005441260 -0.06384364 -0.061684867  0.0407610417  0.9275446272
depsleep     0.056602791  0.03725904  0.047080033  0.5359355600  0.0094194377
depsleepcat  0.049177988  0.04183107  0.038637951  0.4306505552  0.0034941917
depinter     0.020098085  0.02493833  0.033549401  0.4632040122 -0.0107892936
depguilt     0.033966767  0.06665853  0.072540958  0.2593470152 -0.0115710484
depconcn     0.017043650  0.09254428  0.101174695  0.5854382407  0.0284194168
depappet     0.033056669  0.03334551  0.043710137  0.7148869451  0.0148025919
deppmr       0.034584500  0.03730083  0.044440249  0.5095710345  0.0005226596
dage1st      0.965316811  0.30259929  0.288493718  0.0292357090 -0.0064109325
dage1stcat   1.000000000  0.26920675  0.291645348  0.0419994096  0.0017534967
mage1st      0.269206752  1.00000000  0.959809808  0.0311376830 -0.0689186829
mage1stcat   0.291645348  0.95980981  1.000000000  0.0476894521 -0.0646566871
depsi        0.041999410  0.03113768  0.047689452  1.0000000000  0.0423239720
depsicat     0.001753497 -0.06891868 -0.064656687  0.0423239720  1.0000000000
depenerg     0.049014142  0.03441009  0.043002420  0.5320241809  0.0012371618
depsev       0.045098639  0.02288481  0.047355437  0.0586040019 -0.3779157011
depse        0.016358935  0.03027520  0.031260854  0.3168598927  0.0084484297
depdist      0.049027677  0.01718624  0.025975194  0.4182930474 -0.0090393697
deppma       0.043459746  0.01784890  0.022621010  0.3870342180  0.0238454007
elvselfe     0.038417106  0.04510918  0.056566451  0.6492358088  0.0321462524
hxsui        0.234973064  0.20065693  0.201374897  0.0696931595 -0.0877817086
elvsleep     0.055754611  0.05570058  0.069432237  0.7578494750  0.0256668619
elvtalk      0.056137158  0.04511876  0.061608670  0.7615291123  0.0401887097
elvfoi       0.048821153  0.03567034  0.053769458  0.6624550016  0.0454069540
elvdistr     0.046579258  0.03124038  0.043180947  0.6638165915  0.0292690055
elvgdact     0.035568847  0.01928912  0.028415981  0.3182844814 -0.0031544658
elvhrb       0.038719010  0.02834974  0.046590708  0.5948259680  0.0418110632
elvpma       0.072324737  0.05423102  0.066741154  0.3444653535  0.0169645601
majdepc      0.080945744  0.09300612  0.091627932  0.0124762272 -0.0846345833
majdepp      0.082797650  0.09451767  0.092532767  0.0117884403 -0.0867830178
moodgenc     0.081601017  0.09498080  0.092826663  0.0120924368 -0.0836794062
moodgenp     0.081626072  0.09498466  0.092846491  0.0120978280 -0.0836600286
moodsubc     0.084442563  0.09477565  0.092549777  0.0120804701 -0.0825752035
moodsubp     0.084454322  0.09481018  0.092615182  0.0120956285 -0.0825674162
manicc       0.081187370  0.09818576  0.096303266  0.0120358284 -0.0826954342
hmanicc      0.077265718  0.09306479  0.091466204  0.0117430166 -0.0845935871
manicp       0.076869936  0.09484267  0.092683645  0.0116131388 -0.0863328765
hmanicp      0.077868723  0.09298479  0.091515529  0.0118738054 -0.0837642747
typeiic      0.084527842  0.09712677  0.095567901  0.0119149907 -0.0824808777
typeiip      0.084600984  0.09695397  0.095341240  0.0116991885 -0.0827238886
clinstat    -0.021071238  0.02137780  0.009847976 -0.0279460421 -0.0685595581
manlast      0.187548893  0.27186161  0.265783793  0.0316582458  0.0042592053
deppast      0.235774069  0.19756604  0.195540232  0.0210196363  0.0603000702
mangenc      0.081199677  0.09832589  0.096333772  0.0119529183 -0.0825602663
mangenp      0.081212581  0.09829493  0.096305509  0.0119553836 -0.0825629944
hypogenc     0.081169116  0.09829081  0.096296939  0.0119527398 -0.0825705471
hypogenp     0.081178681  0.09829358  0.096303961  0.0119531189 -0.0825672511
mansubc      0.081180923  0.09829942  0.096306215  0.0119531189 -0.0826037172
mansubp      0.081262655  0.09839486  0.096407586  0.0119908949 -0.0825833638
hyposubc     0.081212902  0.09832565  0.096339314  0.0119560194 -0.0825624684
hyposubp     0.081347080  0.09841578  0.096429239  0.0119960369 -0.0825419848
anxdisc      0.085119420  0.09573934  0.093317712  0.0121619969 -0.0866207066
anxdisp      0.085157821  0.09576132  0.093348386  0.0121680495 -0.0865829489
anxsubc      0.085125203  0.09570058  0.093283609  0.0121458430 -0.0866740634
anxsubp      0.085146491  0.09569833  0.093300453  0.0121444073 -0.0867015829
pdnoagc      0.085101398  0.09531315  0.093142448  0.0122083613 -0.0865616439
pdnoagp      0.085169127  0.09524908  0.093109975  0.0122608293 -0.0865775002
pdagorc      0.085389225  0.09534892  0.093338588  0.0122991729 -0.0864227925
pdagorp      0.085370477  0.09544188  0.093491812  0.0123826741 -0.0863903248
agorc        0.085185167  0.09532213  0.093207156  0.0122214758 -0.0865648853
agorp        0.085286964  0.09523322  0.093171839  0.0122465007 -0.0864840027
phobiac      0.090466748  0.09471429  0.092345781  0.0120401078 -0.0876180506
phobiap      0.090527080  0.09821726  0.096132538  0.0120428858 -0.0877926869
ocdcur       0.076792064  0.09314068  0.090762312  0.0122655901 -0.0876728326
ocdc         0.080333356  0.10216654  0.099799769  0.0120610242 -0.0931743341
ocdpast      0.076789893  0.09318661  0.090879467  0.0123063196 -0.0875358801
ocdp         0.080754205  0.10279284  0.100287476  0.0121031848 -0.0924123749
ocdgenc      0.080579684  0.10221762  0.099973400  0.0119539947 -0.0925867231
ocdgenp      0.080982908  0.10279865  0.100352775  0.0119525613 -0.0919351963
